Copies of ARGs per cell,MP diversity,Fungicide application,Plant community
0.165730408,D1,F1,P1
0.132829143,D1,F1,P1
0.142373554,D1,F1,P1
0.143252473,D1,F1,P1
0.193024825,D1,F1,P1
0.142615908,D1,F1,P1
0.100934942,D1,F1,P1
0.106484206,D1,F1,P1
0.1088329,D1,F1,P1
0.106198007,D1,F1,P1
0.131000975,D1,F1,P1
0.107535314,D1,F1,P1
0.189611889,D3,F1,P1
0.196769958,D3,F1,P1
0.1071139,D3,F1,P1
0.188255873,D3,F1,P1
0.101755529,D3,F1,P1
0.182296599,D3,F1,P1
0.123298008,D3,F1,P1
0.108932976,D3,F1,P1
0.153653092,D3,F1,P1
0.156782353,D3,F1,P1
0.176613323,D3,F1,P1
0.166176685,D3,F1,P1
0.244044336,D6,F1,P1
0.15882169,D6,F1,P1
0.167060118,D6,F1,P1
0.146936254,D6,F1,P1
0.200226031,D6,F1,P1
0.146764624,D6,F1,P1
0.129580461,D6,F1,P1
0.169121409,D6,F1,P1
0.149029443,D6,F1,P1
0.131164582,D6,F1,P1
0.191952797,D6,F1,P1
0.136150647,D6,F1,P1
0.193080783,D1,F1,P2
0.16194192,D1,F1,P2
0.17654725,D1,F1,P2
0.164837364,D1,F1,P2
0.17743941,D1,F1,P2
0.140051707,D1,F1,P2
0.114804271,D1,F1,P2
0.127512781,D1,F1,P2
0.11881423,D1,F1,P2
0.111921915,D1,F1,P2
0.130324214,D1,F1,P2
0.115882936,D1,F1,P2
0.145620861,D3,F1,P2
0.166398425,D3,F1,P2
0.114598978,D3,F1,P2
0.176758375,D3,F1,P2
0.119082933,D3,F1,P2
0.212589287,D3,F1,P2
0.122455139,D3,F1,P2
0.130067508,D3,F1,P2
0.159643286,D3,F1,P2
0.157687572,D3,F1,P2
0.203733355,D3,F1,P2
0.181100509,D3,F1,P2
0.134424799,D6,F1,P2
0.149534545,D6,F1,P2
0.170945823,D6,F1,P2
0.204170784,D6,F1,P2
0.155108333,D6,F1,P2
0.157446701,D6,F1,P2
0.159270092,D6,F1,P2
0.176797944,D6,F1,P2
0.160066102,D6,F1,P2
0.130098286,D6,F1,P2
0.179938314,D6,F1,P2
0.140979869,D6,F1,P2
0.172978549,D1,F2,P1
0.150079013,D1,F2,P1
0.141892262,D1,F2,P1
0.145261756,D1,F2,P1
0.157600374,D1,F2,P1
0.13193383,D1,F2,P1
0.11049363,D1,F2,P1
0.131640455,D1,F2,P1
0.128158444,D1,F2,P1
0.114510141,D1,F2,P1
0.143180953,D1,F2,P1
0.122925642,D1,F2,P1
0.163341206,D3,F2,P1
0.167470115,D3,F2,P1
0.120411471,D3,F2,P1
0.159512129,D3,F2,P1
0.113491003,D3,F2,P1
0.200702535,D3,F2,P1
0.126653965,D3,F2,P1
0.116769276,D3,F2,P1
0.180867909,D3,F2,P1
0.177606434,D3,F2,P1
0.178340409,D3,F2,P1
0.191779605,D3,F2,P1
0.152054984,D6,F2,P1
0.150862104,D6,F2,P1
0.151967767,D6,F2,P1
0.171930294,D6,F2,P1
0.141473838,D6,F2,P1
0.14935571,D6,F2,P1
0.175800271,D6,F2,P1
0.173333441,D6,F2,P1
0.154516281,D6,F2,P1
0.156905148,D6,F2,P1
0.196131826,D6,F2,P1
0.152742297,D6,F2,P1
0.188599737,D1,F2,P2
0.167414733,D1,F2,P2
0.155370002,D1,F2,P2
0.177141491,D1,F2,P2
0.185694171,D1,F2,P2
0.149101827,D1,F2,P2
0.117875432,D1,F2,P2
0.122578072,D1,F2,P2
0.140300901,D1,F2,P2
0.10500446,D1,F2,P2
0.132773235,D1,F2,P2
0.117903516,D1,F2,P2
0.129060059,D3,F2,P2
0.169234653,D3,F2,P2
0.126625717,D3,F2,P2
0.15099837,D3,F2,P2
0.105094533,D3,F2,P2
0.168231825,D3,F2,P2
0.183662036,D3,F2,P2
0.123676439,D3,F2,P2
0.202088594,D3,F2,P2
0.171855895,D3,F2,P2
0.18598478,D3,F2,P2
0.175527846,D3,F2,P2
0.133872819,D6,F2,P2
0.168153508,D6,F2,P2
0.167936716,D6,F2,P2
0.183652922,D6,F2,P2
0.182728883,D6,F2,P2
0.1499898,D6,F2,P2
0.159080404,D6,F2,P2
0.18111773,D6,F2,P2
0.187951473,D6,F2,P2
0.155961703,D6,F2,P2
0.204413557,D6,F2,P2
0.140345709,D6,F2,P2
