Gender,Age,TeachingExp,EmotionalLabor,SurfaceActing,DeepActing,EmotionalExpression,CareerCommitment,SocialSupport,SubjectiveSupport,ObjectiveSupport,SupportUtilization,Wellbeing,HealthWorries,EnergyLevel,LifeSatisfaction,Depressed,EmotionalBehaviorControl,Relaxed
1,31,1,48,13,20,15,31,45,26,12,7,101,6,24,9,22,17,23
2,27,7,41,9,19,13,23,31,16,9,6,47,4,14,7,5,13,4
2,30,1,38,10,16,12,28,27,15,5,7,96,7,22,9,21,14,23
2,23,1,39,11,16,12,21,36,20,10,6,71,8,16,4,15,12,16
2,21,1,39,9,17,13,19,43,28,9,6,73,8,15,5,15,12,18
2,22,2,35,7,16,12,21,22,14,2,6,81,7,19,5,16,14,20
2,24,2,28,4,12,12,18,47,20,16,11,84,9,19,6,17,14,19
2,24,4,39,10,16,13,31,39,22,9,8,93,14,22,6,18,14,19
2,28,6,42,9,18,15,18,41,23,10,8,66,10,11,4,14,9,18
2,32,4,38,10,16,12,9,36,23,9,4,66,6,15,6,13,10,16
2,33,3,43,12,17,14,27,39,22,9,8,73,9,17,7,16,10,14
2,29,1,38,10,15,13,21,41,24,9,8,78,6,20,6,16,11,19
2,30,1,37,9,16,12,26,33,21,6,6,75,9,16,6,15,14,15
2,34,5,41,9,19,13,18,53,29,13,11,82,8,18,6,18,13,19
1,25,1,41,14,14,13,20,26,15,6,5,64,7,11,5,12,14,15
2,31,10,42,7,20,15,28,43,27,10,6,93,14,21,7,20,8,23
2,28,4,43,11,19,13,27,34,23,3,8,82,6,23,7,10,16,20
2,33,5,32,6,14,12,33,38,24,8,6,78,10,22,8,14,10,14
2,30,10,30,3,15,12,15,37,20,7,10,83,12,18,7,15,15,16
2,30,2,40,12,16,12,28,39,26,6,7,73,7,21,7,13,15,10
2,24,2,35,3,18,14,25,37,19,10,8,78,7,17,9,14,12,19
2,27,5,30,6,12,12,20,36,20,9,7,63,10,17,5,11,13,7
2,37,5,37,10,15,12,23,27,18,2,7,51,5,10,4,11,8,13
2,30,6,41,13,17,11,24,42,24,11,7,88,9,22,10,21,13,13
2,26,6,34,3,20,11,21,36,20,9,7,64,5,11,7,18,12,11
2,27,4,35,5,17,13,21,33,19,8,6,73,14,15,6,12,11,15
2,25,0,38,7,18,13,22,38,23,7,8,98,6,26,5,22,15,24
2,29,3,45,10,20,15,30,38,24,6,8,102,7,28,10,21,13,23
1,24,2,42,10,17,15,22,29,16,4,9,49,6,11,5,10,9,8
2,28,4,35,8,15,12,26,34,20,7,7,67,6,20,6,13,11,11
1,26,1,38,10,18,10,19,31,16,9,6,89,13,18,6,20,14,18
2,24,1,41,14,16,11,7,41,27,6,8,62,11,12,4,10,10,15
2,27,4,35,6,18,11,17,40,25,7,8,81,8,15,9,18,14,17
1,27,1,35,10,13,12,17,39,22,7,10,67,8,16,5,15,11,12
2,25,5,34,9,14,11,9,31,16,7,8,53,12,11,5,10,11,4
2,34,12,36,10,17,9,28,46,28,10,8,105,16,25,6,19,15,24
2,34,9,50,15,20,15,23,47,29,9,9,101,6,26,7,22,15,25
2,23,2,38,9,17,12,24,33,18,9,6,71,5,18,5,15,11,17
2,33,4,43,9,20,14,19,52,28,14,10,58,5,13,5,13,9,13
2,24,2,37,8,16,13,20,36,23,7,6,78,10,16,4,15,14,19
2,32,10,41,12,16,13,25,39,24,7,8,75,7,17,5,17,10,19
1,32,1,35,8,16,11,25,29,20,4,5,74,15,16,5,13,12,13
